                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0165,                   4.43,                 1.4698,                0.90984,                0.94068,                0.94969,                0.78425,                0.71567,                0.61888,                0.84886,             0.00037026,             0.00037026,             0.00037026
                      1,                0.94211,                0.75164,                0.89871,                0.94555,                0.99265,                0.98276,                0.85733,                0.58093,                0.43604,                 0.8215,             0.00069171,             0.00069171,             0.00069171
                      2,                0.81106,                0.58726,                0.86658,                0.94885,                0.98973,                0.98248,                  0.886,                0.47375,                0.37453,                0.80511,             0.00096428,             0.00096428,             0.00096428
                      3,                0.73358,                0.51443,                0.85051,                0.96754,                 0.9938,                0.98949,                0.90722,                0.42405,                0.32775,                0.79625,             0.00089102,             0.00089102,             0.00089102
                      4,                 0.6869,                  0.477,                0.84096,                0.97295,                0.99586,                0.98778,                0.91309,                 0.4008,                0.30579,                0.79188,             0.00089102,             0.00089102,             0.00089102
                      5,                0.64528,                0.44607,                0.83234,                0.97207,                0.99612,                0.99096,                0.92921,                0.35933,                0.28462,                0.78642,              0.0008177,              0.0008177,              0.0008177
                      6,                0.60587,                 0.4141,                0.82512,                0.98611,                0.99299,                0.99193,                0.93248,                0.34736,                0.26451,                0.78416,             0.00074437,             0.00074437,             0.00074437
                      7,                 0.5833,                0.39758,                0.82121,                0.98656,                0.99657,                0.99346,                0.93974,                0.33459,                0.25349,                0.78188,             0.00067104,             0.00067104,             0.00067104
                      8,                0.56383,                0.38091,                0.81744,                0.98725,                0.99658,                0.99252,                0.94221,                 0.3253,                0.24278,                0.78051,             0.00059772,             0.00059772,             0.00059772
                      9,                0.54886,                 0.3692,                0.81577,                0.98993,                0.99722,                0.99304,                0.94367,                0.32096,                0.23506,                 0.7786,             0.00052439,             0.00052439,             0.00052439
                     10,                 0.5323,                0.35543,                0.81291,                0.98962,                 0.9981,                0.99227,                0.94335,                 0.3169,                0.22903,                0.77789,             0.00045107,             0.00045107,             0.00045107
                     11,                0.52136,                0.34729,                0.81057,                0.98908,                0.99751,                0.99204,                0.94491,                0.31093,                0.22425,                0.77659,             0.00037774,             0.00037774,             0.00037774
                     12,                0.50503,                0.33422,                0.80772,                 0.9894,                0.99863,                 0.9925,                0.94663,                0.31008,                0.22032,                0.77581,             0.00030441,             0.00030441,             0.00030441
                     13,                0.49338,                0.32289,                0.80602,                0.99104,                0.99846,                0.99238,                0.94891,                0.30619,                0.21682,                0.77503,             0.00023109,             0.00023109,             0.00023109
                     14,                0.48406,                0.31301,                0.80379,                0.99082,                 0.9981,                0.99266,                0.94874,                0.30325,                0.21433,                0.77428,             0.00015776,             0.00015776,             0.00015776
